model,n_params_B,train_dataset,eval_dataset,n_shots,seed,accuracy,f1_macro,parse_rate,intra_cross
Phi-3 3.8B,3.8,daccord,gqnli,5,999,0.42,0.4117435424370649,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,999,0.4266666666666667,0.4060671754681186,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,999,0.4133333333333334,0.40298589454634,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,999,0.4433333333333333,0.4057098025334185,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,999,0.4533333333333333,0.4430615254951538,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,5,123,0.3633333333333333,0.320313758886565,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,123,0.42,0.4023449492552483,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,123,0.3866666666666666,0.3560747789442021,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,123,0.4733333333333334,0.3945378151260504,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,123,0.4066666666666667,0.3729582143354105,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,5,42,0.4233333333333333,0.403881524193785,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,42,0.3866666666666666,0.3271599766882785,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,42,0.3933333333333333,0.3842426090014346,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,42,0.46,0.3925249059331844,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,42,0.4366666666666666,0.4200576165472733,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,3,999,0.3678929765886287,0.3272623778588583,0.9966666666666668,Cross
Phi-3 3.8B,3.8,rte3,gqnli,3,999,0.4266666666666667,0.4060671754681186,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,3,999,0.4133333333333334,0.40298589454634,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,3,999,0.4433333333333333,0.4057098025334185,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,3,999,0.4533333333333333,0.4430615254951538,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,3,123,0.38,0.342765983764126,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,3,123,0.42,0.4023449492552483,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,3,123,0.3866666666666666,0.3560747789442021,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,3,123,0.4733333333333334,0.3945378151260504,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,3,123,0.4066666666666667,0.3729582143354105,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,3,42,0.3866666666666666,0.3470669975837401,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,3,42,0.3866666666666666,0.3271599766882785,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,3,42,0.3933333333333333,0.3842426090014346,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,3,42,0.46,0.3925249059331844,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,3,42,0.4366666666666666,0.4200576165472733,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,1,999,0.4233333333333333,0.3795505913152972,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,1,999,0.4433333333333333,0.4147222884237647,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,1,999,0.4013377926421405,0.3694113732829376,0.9966666666666668,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,1,999,0.4366666666666666,0.392793250955606,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,1,999,0.3966666666666666,0.3482059057107791,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,1,123,0.3633333333333333,0.2912429034012656,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,1,123,0.3566666666666667,0.2932339132836233,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,1,123,0.3812709030100334,0.33666744054068,0.9966666666666668,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,1,123,0.4033333333333333,0.3267146646456991,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,1,123,0.3851351351351351,0.3213412551666644,0.9866666666666668,Cross
Phi-3 3.8B,3.8,daccord,gqnli,1,42,0.4,0.3602681813466127,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,1,42,0.3926174496644295,0.3362635665485418,0.9933333333333332,Cross
Phi-3 3.8B,3.8,sick,gqnli,1,42,0.3866666666666666,0.3140024380264657,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,1,42,0.4166666666666667,0.3552507495638108,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,1,42,0.3745819397993311,0.3207767351086956,0.9966666666666668,Cross
Phi-3 3.8B,3.8,daccord,gqnli,0,999,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,0,999,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,0,999,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,0,999,0.3933333333333333,0.3163084295159766,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,0,999,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,0,123,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,0,123,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,0,123,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,0,123,0.3933333333333333,0.3163084295159766,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,0,123,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,0,42,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,0,42,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,0,42,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,0,42,0.3933333333333333,0.3163084295159766,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,0,42,0.3933333333333333,0.3163084295159766,1.0,Cross
Phi-3 3.8B,3.8,daccord,fracas-gq,10,999,0.6,0.5606837606837606,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,10,999,0.7333333333333333,0.7146464646464646,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,10,999,0.6666666666666666,0.6166666666666667,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,10,999,0.6666666666666666,0.626984126984127,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,10,999,0.6,0.5662337662337662,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,10,123,0.5333333333333333,0.4999999999999999,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,10,123,0.8,0.8502673796791443,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,10,123,0.6666666666666666,0.626984126984127,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,10,123,0.6,0.5564102564102563,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,10,123,0.6,0.5586635586635587,1.0,Intra
